t,top_strip_signature,boundary_signature,center_signature,top_strip_holonomy,boundary_holonomy,center_holonomy,transfer,boundary_fraction,top_edge_fraction,slip_density,proxy_chern,entropy,pi_a
0.0,0.12587291879321927,0.021009178024558296,0.012318815514922473,3.1414296231419625,-9.42386847193554,0.00012432866757938754,0.17932229333693203,0.9316497047607216,0.10828017688479624,0.0,5.866908592109352e-19,36.14820457545831,4.045297767976251
0.1,0.13064829508313014,0.04392576869747828,0.012298910448122691,-3.14087309309121,9.422985372718314,-0.00012451555197734443,0.9727574279843509,0.9970721119158092,0.6018702834093057,0.06666666666666667,2.070673620744477e-19,35.328999603876134,4.910448655785426
0.2,0.1300316334155411,0.0606271772404906,0.012219206969235718,3.1235345156013143,-9.442324482542816,0.0001252823099149314,0.7915882896253749,0.9971441932171594,0.6873779779338641,0.7166666666666667,-1.2078929454342784e-19,35.23228438329118,5.755878645323793
0.30000000000000004,0.1288319330100023,0.07256987178606362,0.012057482952375305,-3.1409368381523093,9.423252489218973,-0.00012695770920290173,0.9507831869087874,0.9973008083088687,0.6552066953091845,0.7,-3.4511227012407953e-19,35.1202288791589,6.581598647468085
0.4,0.12446291637322797,0.07908344562947688,0.01183243858762186,3.1055421557943714,-9.460212293826714,0.0001294492291625815,0.7933731262577832,0.9974901953431917,0.7301877589370895,0.7,-1.0353368103722385e-19,35.01073088008206,7.38806679959257
0.5,0.12044013178309103,0.08347458859512223,0.011542300392680846,-3.141014450448556,9.42349617561426,-0.00013292490398564283,0.9254117922382061,0.9976808882237018,0.7085552969192467,0.7,-3.278566566178755e-19,34.90446009260316,8.175748818987593
0.6000000000000001,0.11439170072380174,0.0843343450756031,0.011211400404985075,3.087098433194181,-9.478712256807942,0.00013720421563512275,0.7958443020312903,0.9979464776320539,0.7718652266990136,0.7166666666666667,1.9843955532134572e-19,34.818353874347714,8.94552454253833
0.7000000000000001,0.1089071137309263,0.08452514035164699,0.010828341527867309,-3.1399502606858998,9.424789232052085,-0.00014257102499315444,0.900339317984663,0.9981458498753232,0.7594640267986877,0.7,-9.663143563474227e-19,34.71712583995104,9.697374050758135
0.8,0.10209628253289295,0.08233379694472391,0.010415007236988452,3.0705902299973857,-9.495239077096185,0.00014887738724222999,0.7991882915751892,0.9984261574561768,0.8098656044889853,0.7166666666666667,-3.451122701240795e-20,34.63570579653023,10.432151067728025
0.9,0.0960648677295743,0.08026910331529266,0.009974875175871688,-3.1352142720131404,9.429626628601785,-0.00015588820897094458,0.8784609658826175,0.9986158121822164,0.8051293148496123,0.7333333333333333,-2.5020639583995767e-19,34.575218137134506,11.150720352873623
1.0,0.08933897796157413,0.07671670562680384,0.009524648440975291,3.0602860095659885,-9.505347628910076,0.0001638356946771502,0.8032292707133143,0.9988618813207836,0.843004403321835,0.7333333333333333,-1.5530052155583577e-19,34.51535626576963,11.853421705532188
1.1,0.08327236025949915,0.07347589777095422,0.009058765925776842,-3.1298333557674956,9.43495219541028,-0.0001726608360337334,0.861706995369981,0.999017960612532,0.8437903497534436,0.7333333333333333,1.2941710129652982e-19,34.457944258183105,12.540633730947917
1.2000000000000002,0.07690732461824998,0.06932584221390425,0.008590650163610542,3.0541883976697566,-9.511147988073127,0.00018260740747089166,0.807540475132589,0.9992123890803207,0.871120228783191,0.7333333333333333,2.847176228523656e-19,34.40101696971934,13.212678333643739
1.3,0.07077093761579317,0.0652372385923221,0.008084035940888915,-3.1251568742777147,9.439510064883724,-0.00019453806913283245,0.8499424357581874,0.9993338479334968,0.8754684501288686,0.6666666666666666,1.2078929454342784e-19,34.27442564404908,13.868117261143887
1.4000000000000001,0.06425904272905573,0.06029583484081753,0.007537702262711445,3.0474330106280245,-9.51755298758788,0.00020913987025172887,0.8117772942849572,0.999484105641362,0.8950434615702422,0.6333333333333333,2.5883420259305962e-20,34.1140831241322,14.50643884709611
1.5,0.05779671647569764,0.05531092644981472,0.006947568605047806,-3.123811905126046,9.44062153535914,-0.00022732090360211288,0.8417595525259157,0.9995860250748226,0.9017203952188965,0.6,-1.1216148779032583e-19,33.92255256039977,15.127205737235977
1.6,0.051297957594837525,0.04984901207184672,0.0063340224074578165,3.0366169853369573,-9.527913629293712,0.00024973608639999867,0.8158688889319431,0.9996995716143385,0.9160217814557656,0.6,-1.7255613506203976e-20,33.73500006037362,15.730868477072395
1.7000000000000002,0.04488499713937293,0.044428977081984615,0.005692069206998887,-3.1281591714783876,9.43584297224709,-0.00027813270213927765,0.8362330548485571,0.9997755841031603,0.9236699973037293,0.55,3.8825130388958944e-20,33.49878476224397,16.316552579658843
1.8,0.03870519090127691,0.038836962210477756,0.005042141749031941,3.0268198343172976,-9.537062641377602,0.00031379588386415413,0.8195495675263319,0.9998500614088629,0.9342265356509103,0.55,6.4708550648264906e-21,33.267819759199824,16.88474887511746
1.9000000000000001,0.03274855491709728,0.03344828328806996,0.00439127740463973,-3.132234354618191,9.431056802843473,-0.0003602003953027122,0.8327069153974908,0.9998966412721038,0.9417578745449717,0.5,-1.2941710129652981e-20,32.98910476744381,17.434613369873002
2.0,0.0007380783943164382,0.0032329681248179174,0.0033741720151533572,-5.588006119368176,6.974495502354152,-0.00046898347656987305,0.8226194325664945,0.9999874534264978,0.9501328690887084,0.23333333333333334,2.156951688275497e-21,3.1895016173877564,17.228490495982033
2.1,0.0006300785789401035,0.0026450372507109466,0.002601377981308018,-5.49544204544156,7.066014390001435,-0.0006085777225095512,0.8208232082207355,0.9999910489816797,0.9497858655857183,0.016666666666666666,1.2941710129652981e-20,3.140598607977763,17.025267504333634
2.2,0.0005418156087474232,0.002180709708305564,0.0020148044581049024,-5.482579155034166,7.077522710648882,-0.0007861105384638911,0.819648084760554,0.9999934149917836,0.9485392959361358,0.0,-1.779485142827285e-20,3.075164143517563,16.824473110906695
2.3000000000000003,0.00047028443905632045,0.0018109776192693078,0.00156747996745392,-5.465066241673972,7.093280287546248,-0.0010110515413976895,0.8189677679699741,0.9999951657120421,0.9465184253049209,0.0,2.156951688275497e-21,3.011538544298909,16.62610396536783
